host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
missing	missing	ckicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
pig		clinical sample	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	edema disease	clinical sample	Animal-associated	Livestock	Porcine	Unknown
pig		clinical specimen: pig with septicemia	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		clinically diseased pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		clinically healthy pig	Animal-associated	Livestock	Porcine	Unknown
swine		clinically healthy swine	Animal-associated	Livestock	Porcine	Unknown
		cloaca swab from retail chicken	Animal-associated	Livestock	Porcine	Unknown
		cloacal swabs	Animal-associated	Livestock	Porcine	Unknown
pig	missing	colon	Animal-associated	Livestock	Porcine	Intestinal
pig	salmonellosis	colon	Animal-associated	Livestock	Porcine	Intestinal
pig		colon	Animal-associated	Livestock	Porcine	Intestinal
porcine	missing	colon	Animal-associated	Livestock	Porcine	Intestinal
porcine		colon	Animal-associated	Livestock	Porcine	Intestinal
sus scofa domesticus		colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa	colibacillosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa	missing	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa	salmonellosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	colitis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	colonic salmonellosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	endometritis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	enteric colibacillosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	enteric salmonellosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	enteritis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	enterocolitis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	missing	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	not applicable	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	not provided	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	pneumonia	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	salmonellosis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	ulcerative colitis	colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus		colon	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa	septicaemia	colon	Animal-associated	Livestock	Porcine	Intestinal
		colon (sus scrofa domesticus)	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	not collected	colon content	Animal-associated	Livestock	Porcine	Intestinal
rongchang pig		colon feces	Animal-associated	Livestock	Porcine	Feces
sus scrofa		colon tissue	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa		colon tissue of a pig with mucohaemorrhagic diarrhea	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa	salmonellosis	colon, intest	Animal-associated	Livestock	Porcine	Intestinal
min pig		colonic contents	Animal-associated	Livestock	Porcine	Intestinal
pig		colonic digesta	Animal-associated	Livestock	Porcine	Intestinal
pig		commercial farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		commercial pork production facility, chopping board	Animal-associated	Livestock	Porcine	Industrial Processing Unit
sus scrofa	leptospirosis	commercial swine	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	salmonellosis	comp	Animal-associated	Livestock	Porcine	Meat/Organ
porcine	missing	composite	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	conjunctivitis	conjunctival swab	Animal-associated	Livestock	Porcine	Ocular
sus scrofa		contents of piglet intestines	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus		contents of the gastrointestinal tract	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa		control pig 46 caecum	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa		control pig 46 cecum	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa		control pig 46 colon	Animal-associated	Livestock	Porcine	Intestinal
		cooked ham	Animal-associated	Livestock	Porcine	Meat/Organ
		cooked ham sliced	Animal-associated	Livestock	Porcine	Meat/Organ
		cooked pork	Animal-associated	Livestock	Porcine	Meat/Organ
pig		copper fed pig	Animal-associated	Livestock	Porcine	Unknown
		copper fed pig	Animal-associated	Livestock	Porcine	Unknown
missing	not provided	cow	Animal-associated	Livestock	Bovine	Unknown
not provided	not provided	cow	Animal-associated	Livestock	Bovine	Unknown
		crate which was used to store raw cured ham	Animal-associated	Livestock	Porcine	Meat/Organ
pig		csf or blood culture	Animal-associated	Livestock	Porcine	Blood
sus scrofa		csf or blood culture	Animal-associated	Livestock	Porcine	Blood
sus scrofa domesticus		culture	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus		culture plate	Animal-associated	Livestock	Porcine	Unknown
		dairy cattle fecal	Animal-associated	Livestock	Bovine	Feces
		dairy cattle manure	Animal-associated	Livestock	Bovine	Feces
		dairy cows	Animal-associated	Livestock	Bovine	Unknown
pig	pneumonia	dead piglets clinical sample	Animal-associated	Livestock	Porcine	Unknown
pig	pneumonia	dead piglets clinical sample	Animal-associated	Livestock	Porcine	Unknown
		deer mouse or kangaroo rat	Animal-associated	Wild	Others	Unknown
		deli bologna	Animal-associated	Livestock	Porcine	Meat/Organ
		deli meat-bologna	Animal-associated	Livestock	Porcine	Meat/Organ
pig	diarrhea	diarrhea and blood	Animal-associated	Livestock	Porcine	Blood
piglet	weaned piglet diarrhea	diarrhea piglet from pig farm	Animal-associated	Livestock	Porcine	Unknown
pig	piglet diarrhea	diarrhea piglets from a pig farm with 250 sows; farm located in southern china, surrounded by mountains, and has been in use for 16 years	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		diarrheic feces of animal with intestinal spirochetosis	Animal-associated	Livestock	Porcine	Feces
		diarrheic neonatal swine	Animal-associated	Livestock	Porcine	Unknown
pig	not applicable	digesta	Animal-associated	Livestock	Porcine	Intestinal
swine		digestive tract of healthy swine	Animal-associated	Livestock	Porcine	Intestinal
not applicable		dipodomys californicus, california kangaroo rat	Animal-associated	Wild	Others	Unknown
pig	missing	diseased pig	Animal-associated	Livestock	Porcine	Unknown
pig	streptococcus suis infection	diseased pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		diseased pig	Animal-associated	Livestock	Porcine	Unknown
		diseased pig	Animal-associated	Livestock	Porcine	Unknown
		dog feces	Animal-associated	Livestock	Canine	Feces
sus scrofa		domestic pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	non-clinical	domestic pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	respiratory	domestic pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	systemic	domestic pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	unknown	domestic pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa minusculus		dorsal	Animal-associated	Livestock	Porcine	Meat/Organ
pig		drag swab from a swine farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
missing	missing	dried pig ear	Animal-associated	Livestock	Porcine	Meat/Organ
		dried pig ear	Animal-associated	Livestock	Porcine	Meat/Organ
missing	missing	dried pork ear	Animal-associated	Livestock	Porcine	Meat/Organ
	missing	dried pork ears	Animal-associated	Livestock	Porcine	Meat/Organ
		dried salami	Animal-associated	Livestock	Porcine	Meat/Organ
not collected		dried sausage	Animal-associated	Livestock	Porcine	Meat/Organ
		dry fermented sausage chourico	Animal-associated	Livestock	Porcine	Meat/Organ
environmental		dry sausage	Animal-associated	Livestock	Porcine	Meat/Organ
		dry sausage (skilandis)	Animal-associated	Livestock	Porcine	Meat/Organ
not applicable	not applicable	duck	Animal-associated	Livestock	Poultry	Unknown
		duck feces	Animal-associated	Livestock	Poultry	Feces
missing	missing	duck heart	Animal-associated	Livestock	Poultry	Meat/Organ
na		duck retail meat	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		duodenum	Animal-associated	Livestock	Porcine	Intestinal
		dust from chicken farm	Animal-associated	Livestock	Poultry	Breeding/Hospital Environment Sample
sus scrofa		dust sample	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus	healthy	eces	Animal-associated	Livestock	Porcine	Feces
pig	na	endocardium	Animal-associated	Livestock	Porcine	Pericardial
porcine		enteric canal	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	not provided	enteric pool	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus		enteric pool	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus	colitis	enteric pool	Animal-associated	Livestock	Porcine	Intestinal
porcine	missing	environment (animal)	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
porcine	missing	environment swab	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa		environmental	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus		environmental	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
missing	missing	environmental porcine	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		environmental swab of manure	Animal-associated	Livestock	Porcine	Feces
sus scrofa domestica		environmental, faeces	Animal-associated	Livestock	Porcine	Feces
sus		envo:00010483	Animal-associated	Livestock	Porcine	Unknown
sus scrofa	infection	exudate	Animal-associated	Livestock	Porcine	Uncategorized Fluid
pig		exudative epidermitis	Animal-associated	Livestock	Porcine	Uncategorized Fluid
pig		eye	Animal-associated	Livestock	Porcine	Ocular
sus scrofa		eye	Animal-associated	Livestock	Porcine	Ocular
sus scrofa domesticus		eye	Animal-associated	Livestock	Porcine	Ocular
pig		eye from aborted porcine fetus	Animal-associated	Livestock	Porcine	Ocular
porcine		eye, aborted fetus	Animal-associated	Livestock	Porcine	Fetus
pig	missing	faecal	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus		faecal	Animal-associated	Livestock	Porcine	Feces
porcine		faecal sample	Animal-associated	Livestock	Porcine	Feces
sus scrofa		faecal sample	Animal-associated	Livestock	Porcine	Feces
pig		faecal sample	Animal-associated	Livestock	Porcine	Feces
pig		faecal swab	Animal-associated	Livestock	Porcine	Feces
pig	diarrhea	faecal swab	Animal-associated	Livestock	Porcine	Feces
sus scofa domesticus		faecal_swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.10	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.11	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.12	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.13	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.14	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.15	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.16	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.17	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.7	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.8	Animal-associated	Livestock	Porcine	Feces
sus scrofa	no disease	faeces 9.9	Animal-associated	Livestock	Porcine	Feces
sus scofa domesticus		faeces_pool	Animal-associated	Livestock	Porcine	Feces
pig		farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus	anthrax	farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus	not applicable	farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus		farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
swine	no	farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
swine	bacterial infectious disease	farm animal isolate	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
not applicable	not applicable	farm environment	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa domesticus: environment	not collected	farm environment	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus scrofa	clostridioides difficile colonization	farm sample	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		fattening pig, feces	Animal-associated	Livestock	Porcine	Feces
		fattenning pigs meat	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus		fatting pig at farm	Animal-associated	Livestock	Porcine	Unknown
sus scrofa	intestinal salmonellosis	fecal material	Animal-associated	Livestock	Porcine	Feces
pigs		fecal matter	Animal-associated	Livestock	Porcine	Feces
		fecal of pig	Animal-associated	Livestock	Porcine	Feces
porcine		fecal piglet	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus		fecal pool swab	Animal-associated	Livestock	Porcine	Feces
pig	swine dysentery	fecal sample	Animal-associated	Livestock	Porcine	Feces
pig		fecal sample	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus	not applicable	fecal sample	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus		fecal sample	Animal-associated	Livestock	Porcine	Feces
swine		fecal sample	Animal-associated	Livestock	Porcine	Feces
tibetan pig	not collected	fecal sample	Animal-associated	Livestock	Porcine	Feces
sus scrofa		fecal sample of organically raised pig	Animal-associated	Livestock	Porcine	Feces
pigs		fecal samples	Animal-associated	Livestock	Porcine	Feces
pig	asymptomatic	fecal swab	Animal-associated	Livestock	Porcine	Feces
pig		fecal swab	Animal-associated	Livestock	Porcine	Feces
porcine	missing	fecal swab	Animal-associated	Livestock	Porcine	Feces
porcine		fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa	enteritis	fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus	incidental finding	fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus	missing	fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus	not applicable	fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus	not provided	fecal swab	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus		fecal swab	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab	Animal-associated	Livestock	Porcine	Feces
		fecal swab (porcine)	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab1	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab10	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab100	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab101	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab102	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab103	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab104	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab105	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab106	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab107	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab108	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab109	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab11	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab110	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab111	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab112	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab113	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab114	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab115	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab116	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab117	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab118	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab119	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab12	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab120	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab121	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab122	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab123	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab124	Animal-associated	Livestock	Porcine	Feces
swine		fecal swab125	Animal-associated	Livestock	Porcine	Feces
